115,ullamcorper,O,94
120,fringilla,S,94
125,Maecenas,a,54
80,a,W,95
24,senectus,k,74
179,sapien,d,93
186,molestie,R,50
12,in,H,31
114,sapien,u,44
166,urna,n,46
84,congue,W,40
41,amet,y,87
37,Cum,a,61
161,vitae,V,66
20,adipiscing,x,65
92,rhoncus,D,39
149,Vestibulum,q,65
150,tincidunt,X,97
18,condimentum,z,43
169,ullamcorper,g,43
193,pede,H,88
162,justo,e,88
4,ad,P,35
41,neque,L,31
20,tincidunt,Z,99
158,vel,Q,78
134,in,R,65
50,nonummy,b,37
112,elit,T,74
137,ornare,d,42
125,Fusce,R,39
73,Lorem,I,49
150,hymenaeos,j,36
190,Nam,P,92
123,mi,y,34
165,vulputate,O,34
103,imperdiet,L,72
108,at,B,56
91,arcu,o,47
197,ligula,m,81
100,Fusce,p,47
191,sagittis,j,34
18,rhoncus,F,33
120,Curae,H,61
16,blandit,C,57
29,consequat,p,97
121,porttitor,Z,56
28,Nullam,X,54
53,pharetra,C,36
193,pharetra,R,61
4,ridiculus,M,78
46,risus,u,81
95,diam,G,59
111,nec,N,86
10,nec,m,79
57,convallis,f,59
162,ultricies,k,63
143,tempus,g,32
160,quam,N,76
2,tristique,A,40
110,Proin,R,81
148,mollis,i,95
197,Nullam,d,63
52,adipiscing,o,96
117,aliquet,b,60
81,Aenean,T,63
7,pulvinar,g,46
51,hymenaeos,c,41
19,torquent,X,30
79,Maecenas,a,73
57,tempor,z,76
190,lorem,u,100
34,mauris,Y,48
12,Etiam,M,74
104,Ut,u,47
93,ligula,J,93
67,adipiscing,x,98
121,netus,G,30
88,Nulla,B,87
150,sociosqu,a,89
48,Cras,c,61
6,ac,X,30
128,facilisi,a,66
58,Lorem,o,95
79,Suspendisse,b,85
53,ante,a,33
44,volutpat,I,60
112,nisi,q,53
144,est,g,90
63,facilisi,P,85
82,cursus,t,64
80,mus,I,45
190,et,U,72
77,sem,H,40
192,posuere,u,70
105,natoque,Y,33
113,est,H,31
67,interdum,x,96
133,libero,z,57
38,et,u,90
9,senectus,W,36
130,blandit,N,56
25,molestie,b,91
155,dapibus,l,39
68,Ut,O,88
103,pellentesque,d,76
28,venenatis,P,34
137,Vestibulum,A,34
137,luctus,G,95
59,ut,d,85
32,placerat,W,55
5,Ut,C,60
7,Nullam,N,83
167,consequat,z,93
68,lorem,c,37
130,tristique,y,36
64,diam,V,100
125,nonummy,g,37
168,senectus,Y,77
126,taciti,t,63
177,Donec,F,81
178,augue,W,87
191,varius,r,52
50,malesuada,a,54
142,In,c,44
60,luctus,N,100
34,condimentum,A,80
129,Fusce,W,87
77,risus,A,51
17,diam,K,88
46,aptent,h,66
90,vestibulum,G,56
16,penatibus,v,91
172,eros,O,89
172,penatibus,r,37
180,lacinia,Q,38
74,Suspendisse,i,67
92,at,F,53
49,primis,E,77
33,libero,L,45
5,dis,u,34
41,lacus,o,84
5,feugiat,O,59
189,bibendum,C,63
200,vehicula,J,60
25,purus,X,54
61,elit,c,94
131,ut,Y,80
189,ac,u,56
129,Nulla,Z,88
38,risus,G,81
92,mollis,g,96
172,nec,p,68
104,aptent,R,43
132,hymenaeos,N,41
163,dis,X,30
51,sagittis,o,30
134,eu,W,95
32,Phasellus,l,39
178,nulla,S,32
191,suscipit,k,100
192,Sed,K,88
72,sit,N,66
173,malesuada,B,44
30,blandit,y,76
195,ligula,g,65
93,Suspendisse,v,88
141,est,j,63
86,orci,w,81
73,gravida,m,75
164,Maecenas,w,76
23,natoque,e,61
98,fames,e,52
167,molestie,v,48
160,parturient,J,35
70,varius,c,71
109,dolor,W,85
11,Curabitur,b,66
7,sagittis,s,91
144,interdum,r,60
33,Phasellus,b,73
34,gravida,k,55
140,hendrerit,k,42
72,augue,A,40
154,taciti,g,55
59,porttitor,e,50
158,pulvinar,S,98
103,In,J,69
131,odio,S,57
183,dapibus,N,96
66,inceptos,q,69
193,sagittis,U,93
66,sagittis,x,74
134,est,Z,66
139,taciti,B,39
29,Donec,w,87
74,ipsum,y,33
170,Praesent,L,40
149,Aenean,r,77
51,Nulla,a,63
