887,tempor,100
148,cubilia,16
143,ligula,99
874,faucibus,100
577,ad,4
797,natoque,79
200,montes,13
583,massa,37
51,molestie,76
53,consequat,93
278,penatibus,22
323,molestie,64
148,porttitor,33
877,posuere,11
175,orci,84
978,Nam,85
730,vestibulum,70
754,ad,63
248,nec,100
401,Donec,73
353,interdum,51
544,sodales,58
714,dui,36
450,felis,89
161,blandit,73
986,bibendum,67
665,scelerisque,15
215,senectus,16
818,augue,26
947,dapibus,40
931,pulvinar,63
219,Class,70
701,taciti,9
648,bibendum,21
956,augue,83
652,Fusce,18
928,amet,7
444,congue,96
720,ipsum,14
166,litora,70
992,orci,58
332,Suspendisse,97
968,feugiat,67
144,Praesent,31
914,sollicitudin,43
932,libero,48
393,id,58
259,ad,90
585,facilisis,46
629,neque,90
393,Curabitur,80
117,posuere,22
873,vel,7
748,Mauris,32
919,ut,53
853,Maecenas,52
127,Fusce,47
886,Mauris,73
421,feugiat,3
137,Fusce,69
621,placerat,10
56,leo,75
313,mi,83
915,blandit,25
675,sodales,54
841,mattis,100
817,consequat,46
861,eget,36
627,accumsan,5
164,at,16
695,sed,39
43,Fusce,81
121,eros,91
715,bibendum,8
621,sed,95
73,facilisis,44
479,leo,60
710,velit,26
982,Phasellus,70
661,lacinia,14
355,sem,66
364,luctus,5
654,ultrices,100
865,leo,93
638,luctus,62
561,eleifend,35
328,aptent,82
422,Nam,91
786,auctor,20
218,sodales,33
206,Curabitur,34
141,egestas,93
224,Mauris,72
706,porta,17
783,aliquam,69
9,Suspendisse,32
958,Nullam,43
966,fringilla,28
149,natoque,87
732,dictum,82
240,vestibulum,3
243,mollis,83
47,euismod,54
695,Donec,66
647,vulputate,46
864,Phasellus,59
874,Curae,12
2,eu,45
810,euismod,77
514,facilisis,60
762,natoque,96
817,justo,90
372,Vestibulum,95
256,aptent,57
344,scelerisque,76
757,sed,100
296,interdum,17
32,odio,42
852,felis,86
288,commodo,71
75,nascetur,10
500,adipiscing,99
603,Class,35
996,porttitor,97
247,cursus,37
23,Nunc,46
94,venenatis,91
684,nisl,98
260,eget,63
572,erat,28
271,vehicula,66
447,Nullam,58
316,Praesent,28
515,purus,81
665,morbi,11
914,dui,65
761,turpis,62
670,ac,78
411,malesuada,88
669,laoreet,82
792,nostra,59
238,blandit,80
775,Curabitur,38
308,Nullam,84
653,justo,71
840,lacus,82
209,tempus,94
216,Praesent,53
311,eros,79
613,elementum,27
185,senectus,97
219,sem,22
811,accumsan,78
997,consectetuer,22
625,Class,74
394,ligula,65
784,fermentum,13
53,interdum,83
487,arcu,25
150,congue,77
127,lacus,66
249,mollis,74
237,massa,73
776,rhoncus,68
342,Maecenas,76
509,senectus,58
971,ullamcorper,76
323,Morbi,22
649,bibendum,99
18,felis,28
821,tincidunt,70
583,bibendum,98
441,Nam,35
664,posuere,69
440,facilisis,72
27,porttitor,36
299,nisi,4
752,elit,45
339,varius,96
749,magna,69
656,massa,53
710,auctor,24
297,Praesent,43
614,diam,95
261,facilisi,16
81,imperdiet,86
973,nisl,20
532,pellentesque,48
678,sit,16
933,fames,89
82,nec,81
380,aliquam,80
293,nonummy,98
985,at,48
425,cubilia,49
900,tincidunt,79
427,ullamcorper,90
853,dui,56
894,auctor,26
714,Donec,35
368,nisi,70
516,gravida,61
418,magnis,38
627,semper,16
145,sollicitudin,34
468,Nullam,53
590,pede,99
416,hymenaeos,61
193,sagittis,100
275,Praesent,45
53,placerat,41
531,netus,35
98,dui,95
882,Cum,92
928,Nunc,64
933,mi,84
757,Mauris,39
734,tempus,14
381,elit,27
662,ullamcorper,0
675,Curabitur,73
944,mi,19
401,malesuada,78
371,sed,68
626,molestie,19
755,neque,61
787,felis,21
911,commodo,47
826,dignissim,47
424,facilisi,54
15,Curabitur,28
988,sagittis,91
741,taciti,3
39,sociosqu,23
4,aliquet,55
287,tempus,31
627,justo,46
829,Cum,74
199,interdum,40
692,purus,1
275,felis,40
934,iaculis,31
796,id,58
214,Nulla,58
493,viverra,27
771,pellentesque,84
463,morbi,50
649,dolor,21
598,Sed,19
202,nibh,76
988,purus,67
955,eros,81
777,lorem,66
191,Vestibulum,25
899,sit,58
202,montes,94
141,sollicitudin,86
267,sem,53
771,primis,48
925,ac,11
180,auctor,93
242,risus,75
438,sociosqu,5
784,Maecenas,0
4,ante,9
489,sollicitudin,39
803,hymenaeos,56
81,pretium,39
620,hymenaeos,82
684,quam,29
314,Cum,14
347,nostra,76
146,Integer,50
74,scelerisque,3
149,Lorem,37
234,lacus,17
906,Curae,41
805,congue,4
350,tempor,66
801,nostra,49
860,mollis,0
821,arcu,86
276,litora,49
405,taciti,61
222,pede,65
772,condimentum,26
837,ligula,92
17,erat,15
827,eleifend,25
529,malesuada,97
282,consectetuer,73
903,facilisis,55
930,fermentum,5
899,eleifend,37
128,tellus,68
648,taciti,86
195,eget,78
505,tortor,29
456,mattis,3
478,volutpat,61
753,torquent,49
379,fringilla,72
271,varius,19
601,magna,25
113,Morbi,26
313,ullamcorper,95
36,libero,57
432,scelerisque,47
699,gravida,48
472,eu,43
502,vestibulum,51
106,tempor,76
722,dis,50
195,porttitor,44
313,Pellentesque,64
786,mus,46
525,velit,42
857,adipiscing,11
755,Duis,29
799,facilisis,10
437,pretium,65
594,arcu,67
216,odio,22
174,at,0
384,facilisis,1
232,volutpat,69
599,fermentum,20
424,augue,97
543,hendrerit,22
613,elit,95
143,feugiat,10
140,rhoncus,18
353,scelerisque,23
823,varius,87
729,auctor,72
757,lacus,2
837,mus,44
655,et,81
580,tempus,30
373,ut,24
876,vel,75
129,Aenean,86
939,Suspendisse,80
426,sapien,22
734,Ut,20
843,posuere,54
158,risus,33
317,imperdiet,8
895,morbi,37
729,aptent,51
661,metus,31
822,aliquam,21
228,urna,38
704,felis,80
671,sodales,98
37,Maecenas,65
608,aliquam,89
689,sit,29
822,Etiam,30
309,sit,63
149,mus,20
648,sit,97
825,eu,74
21,facilisi,73
918,nisi,45
69,nisl,87
771,per,68
162,nisi,15
295,inceptos,25
733,ultricies,69
144,suscipit,77
935,In,29
976,viverra,40
512,netus,1
731,Etiam,2
84,In,35
970,parturient,66
40,tempus,87
913,augue,24
905,sollicitudin,66
537,consectetuer,14
905,elit,49
723,luctus,22
304,Nullam,17
375,risus,49
62,ad,71
928,ut,68
953,malesuada,90
270,varius,44
427,consectetuer,89
114,consequat,96
636,cubilia,5
61,habitant,84
843,Suspendisse,100
252,lacinia,53
415,cursus,19
193,inceptos,5
307,magnis,83
30,volutpat,4
623,sed,4
228,ligula,73
656,nec,38
558,condimentum,89
688,Aliquam,87
11,Aliquam,28
332,vel,30
100,risus,7
700,nostra,81
708,posuere,16
978,vel,26
934,sed,59
864,turpis,31
583,ipsum,99
784,vel,0
608,dis,88
868,pellentesque,79
46,Aliquam,84
150,Curabitur,39
583,ut,50
843,per,1
248,Etiam,48
761,Cum,46
745,pellentesque,50
276,metus,89
151,eget,68
8,mauris,64
725,id,33
690,vestibulum,36
130,Phasellus,73
780,nulla,41
88,enim,62
267,Integer,81
965,eu,14
250,congue,82
921,parturient,51
385,mus,21
671,conubia,21
712,volutpat,88
436,non,74
207,sit,48
75,vehicula,32
452,laoreet,72
219,habitant,24
428,rhoncus,71
271,cubilia,56
634,gravida,70
726,turpis,72
140,malesuada,15
114,massa,71
842,aliquet,24
608,sociis,82
939,placerat,50
156,ridiculus,5
455,consequat,19
688,accumsan,47
844,Proin,31
495,et,18
46,arcu,2
897,Nulla,52
880,sapien,78
472,ac,10
690,parturient,12
90,Integer,86
891,gravida,58
796,orci,61
6,orci,64
21,In,45
712,viverra,54
253,sapien,34
916,scelerisque,100
323,ligula,49
221,massa,55
108,cursus,65
356,Praesent,25
98,tempus,5
820,Nunc,84
665,Cras,5
144,sociis,77
144,aliquam,98
58,egestas,38
37,ut,34
910,malesuada,6
371,augue,59
174,lectus,46
865,nostra,84
180,pulvinar,73
960,iaculis,0
166,sagittis,60
24,Mauris,32
522,mus,43
376,mus,73
367,interdum,78
631,nonummy,11
882,natoque,60
732,gravida,87
786,volutpat,84
794,metus,42
359,Lorem,7
405,per,98
506,lobortis,96
681,euismod,67
594,auctor,94
823,eu,49
848,lacus,47
124,luctus,56
912,laoreet,77
643,pretium,54
255,conubia,14
403,dictum,64
339,at,7
774,ipsum,93
790,sociis,26
63,pede,20
805,tortor,98
775,elementum,87
603,lectus,68
1000,Nam,22
440,egestas,59
908,ultricies,43
483,et,77
136,Maecenas,21
199,Proin,92
873,pellentesque,68
508,felis,56
446,diam,100
271,Cras,30
581,non,96
126,Ut,27
798,Sed,60
128,pellentesque,23
452,quam,8
662,conubia,30
175,Aenean,25
